SIRUTA,uat_name,county_code,county_name,PERC_PSD,TOATE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,ALIANȚA PENTRU UNIREA ROMÂNILOR,UNIUNEA SALVAȚI ROMÂNIA,PARTIDUL NAȚIONAL LIBERAL,PARTIDUL SOCIAL DEMOCRAT,PARTIDUL OAMENILOR TINERI,PARTIDUL NOUA ROMÂNIE,PARTIDUL S.O.S. ROMÂNIA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN,PARTIDUL ECOLOGIST ROMÂN,PARTIDUL ROMÂNIA ÎN ACȚIUNE,PARTIDUL SOCIAL DEMOCRAT UNIT,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT,Populatie_2023,Populatie_2007,NOTA FINALA MATEMATICA,MEDIA,MEDIA V-VIII,T,M,F,Y_LT15,Y_1564,Y_GE65,EMP,NAT,EU_OTH,OTH,SAME,CHG_IN,CHG_OUT
59434,SÂNCRAIU,CJ,CLUJ,0.05465587,988,801,47,22,40,54,8,0,14,2,0,0,0,0,1496,1673,6.46875,7.044375,9.189375,1622,760,862,208,964,450,598,1596,16,10,1585,25,12
59498,SÂNMĂRTIN,CJ,CLUJ,0.139622642,795,51,154,19,421,111,11,1,14,2,1,2,6,2,1232,1661,4.55,4.16,7.883333333,1125,538,587,102,546,477,282,1096,2,27,1117,7,1
59586,SÂNPAUL,CJ,CLUJ,0.212765957,940,25,224,97,256,200,55,0,50,18,4,1,8,2,2227,2385,3.7,3.81,7.662142857,2280,1194,1086,385,1378,517,819,2264,6,10,2238,23,19
59657,SUATU,CJ,CLUJ,0.071312804,617,377,103,16,23,44,16,1,29,1,1,0,6,0,1450,1888,3.971428571,4.258571429,7.571428571,1588,785,803,192,870,526,580,1570,9,9,1552,30,6
59693,TRITENII DE JOS,CJ,CLUJ,0.133995037,1209,102,398,109,144,162,154,9,103,10,1,3,11,3,4414,5002,5.373076923,6.213846154,9.057333333,3927,2016,1911,565,2523,839,1338,3825,91,11,3817,53,57
59764,TURENI,CJ,CLUJ,0.119858989,851,183,173,72,193,102,57,3,53,4,3,2,5,1,2183,2431,5.695,5.52,8.369,2578,1298,1280,383,1521,674,942,2535,25,18,2447,102,29
59826,ŢAGA,CJ,CLUJ,0.193181818,704,25,160,48,226,136,37,1,43,9,5,2,8,4,1622,2096,7.60625,7.46,8.52,1633,822,811,148,931,554,584,1615,13,5,1587,38,8
59880,UNGURAŞ,CJ,CLUJ,0.133531157,1011,641,62,27,67,135,29,1,25,4,7,2,8,3,2482,3017,6.584615385,6.636153846,8.664285714,2447,1227,1220,278,1545,624,946,2397,42,8,2387,22,38
59942,VAD,CJ,CLUJ,0.169273229,1087,22,210,53,437,184,71,6,73,16,2,2,8,3,1945,2097,5.52,5.689333333,8.169411765,2334,1151,1183,353,1371,610,747,2303,24,7,2304,15,15
60026,VALEA IERII,CJ,CLUJ,0.34180791,354,3,122,17,35,121,35,1,15,3,0,0,2,0,877,1059,3.45,4.8025,8.8325,990,535,455,111,659,220,369,976,2,12,974,10,6
60062,VIIŞOARA,CJ,CLUJ,0.160945414,1777,459,395,101,217,286,155,2,147,4,2,3,5,1,5939,6106,6.045,6.557666667,9.023666667,6053,3013,3040,1044,3838,1171,2238,5879,164,10,5752,91,210
60099,VULTURENI,CJ,CLUJ,0.550639135,1017,96,98,52,107,560,43,0,46,5,3,0,6,1,1457,1450,4.844444444,5.033333333,8.202727273,1546,773,773,268,899,379,550,1524,12,10,1463,69,14
60169,NEGRENI,CJ,CLUJ,0.170915958,1059,14,260,54,335,181,127,1,61,19,2,1,3,1,2176,2599,4.959090909,5.485454545,8.981818182,2139,1059,1080,225,1410,504,777,2111,19,9,2108,27,4
